| MasterMap - Non-Trial Evaluation                            | mmcolor  | 700        | EVALUA01 | 7225759     | 46448622 | 2     |
| Oldest 1:10k CRM - AutoRun-Trial Third Party                | 101382   | 310        | IWOBBL01 | 7225763     | 46448639 | 4     |
| MasterMap - AutoRun-Trial Pan Government                    | mmcolor  | 700        | JHELMA01 | 7225764     | 46448641 | 4     |
| Most Recent 1:10k CRM - AutoRun-Trial Pan Government        | 113881   | 301        | JHELMA01 | 7225764     | 46448641 | 4     |
| Second Most Recent 1:10k CRM - AutoRun-Trial Pan Government | 101504   | 320        | JHELMA01 | 7225764     | 46448641 | 4     |
| Oldest 1:10k CRM - AutoRun-Trial Pan Government             | 101382   | 310        | JHELMA01 | 7225764     | 46448641 | 4     |
| MasterMap - NonRun-Trial Evaluation                         | mmcolor  | 700        | NCADBU01 | 7225765     | 46448647 | 4     |
| Most Recent 1:10k CRM - NonRun-Trial Evaluation             | 113881   | 301        | NCADBU01 | 7225765     | 46448647 | 4     |
| Second Most Recent 1:10k CRM - NonRun-Trial Evaluation      | 101504   | 320        | NCADBU01 | 7225765     | 46448647 | 4     |
| Oldest 1:10k CRM - NonRun-Trial Evaluation                  | 101382   | 310        | NCADBU01 | 7225765     | 46448647 | 4     |
| MasterMap - NonRun-Trial Customer                           | mmcolor  | 700        | FARMST01 | 7225766     | 46448649 | 4     |
| Most Recent 1:10k CRM - NonRun-Trial Customer               | 113881   | 301        | FARMST01 | 7225766     | 46448649 | 4     |
| Second Most Recent 1:10k CRM - NonRun-Trial Customer        | 101504   | 320        | FARMST01 | 7225766     | 46448649 | 4     |
| Oldest 1:10k CRM - NonRun-Trial Customer                    | 101382   | 310        | FARMST01 | 7225766     | 46448649 | 4     |
| MasterMap - NonRun-Trial Testing                            | mmcolor  | 700        | WGIBLE01 | 6650828     | 46128103 | 4     |
| Most Recent 1:10k CRM - NonRun-Trial Testing                | 113881   | 301        | WGIBLE01 | 6650828     | 46128103 | 4     |
| Second Most Recent 1:10k CRM - NonRun-Trial Testing         | 101504   | 320        | WGIBLE01 | 6650828     | 46128103 | 4     |
| Oldest 1:10k CRM - NonRun-Trial Testing                     | 101382   | 310        | WGIBLE01 | 6650828     | 46128103 | 4     |
| MasterMap - NonRun-Trial Internal                           | mmcolor  | 700        | JHAMMO03 | 7225769     | 46448651 | 4     |
| Most Recent 1:10k CRM - NonRun-Trial Internal               | 113881   | 301        | JHAMMO03 | 7225769     | 46448651 | 4     |
| Second Most Recent 1:10k CRM - NonRun-Trial Internal        | 101504   | 320        | JHAMMO03 | 7225769     | 46448651 | 4     |
| Oldest 1:10k CRM - NonRun-Trial Internal                    | 101382   | 310        | JHAMMO03 | 7225769     | 46448651 | 4     |
| MasterMap - NonRun-Trial Third Party                        | mmcolor  | 700        | JFLETC04 | 7225767     | 46448653 | 4     |
| Most Recent 1:10k CRM - NonRun-Trial Third Party            | 113881   | 301        | JFLETC04 | 7225767     | 46448653 | 4     |
| Second Most Recent 1:10k CRM - NonRun-Trial Third Party     | 101504   | 320        | JFLETC04 | 7225767     | 46448653 | 4     |
| Oldest 1:10k CRM - NonRun-Trial Third Party                 | 101382   | 310        | JFLETC04 | 7225767     | 46448653 | 4     |
| MasterMap - NonRun-Trial Pan Government                     | mmcolor  | 700        | ICOPES01 | 7225768     | 46448655 | 4     |
| Most Recent 1:10k CRM - NonRun-Trial Pan Government         | 113881   | 301        | ICOPES01 | 7225768     | 46448655 | 4     |
| Second Most Recent 1:10k CRM - NonRun-Trial Pan Government  | 101504   | 320        | ICOPES01 | 7225768     | 46448655 | 4     |
| Oldest 1:10k CRM - NonRun-Trial Pan Government              | 101382   | 310        | ICOPES01 | 7225768     | 46448655 | 4     |
